iter	Passed	Remaining
161	324	1676
162	325	1673
163	327	1670
164	329	1667
165	331	1665
166	333	1662
167	335	1661
168	337	1658
169	338	1654
170	340	1650
171	341	1645
172	343	1641
173	345	1637
174	346	1633
175	347	1629
176	349	1625
177	355	1639
178	356	1635
179	358	1631
180	359	1627
181	361	1624
182	362	1619
183	364	1615
184	366	1613
185	367	1609
186	369	1608
187	371	1603
188	373	1600
189	374	1598
190	376	1593
191	378	1591
192	379	1586
193	381	1583
194	383	1583
195	385	1579
196	388	1582
197	389	1579
198	391	1576
199	393	1572
200	394	1569
201	396	1566
202	397	1562
203	399	1559
204	401	1556
205	403	1554
206	404	1550
207	406	1546
208	407	1543
209	409	1540
210	411	1539
211	413	1537
212	415	1534
213	417	1532
214	418	1529
215	420	1525
216	421	1521
217	423	1518
218	424	1514
219	426	1512
220	428	1511
221	430	1508
222	431	1504
223	433	1500
224	434	1497
225	436	1493
226	437	1489
227	439	1488
228	441	1485
229	443	1483
230	444	1480
231	446	1478
232	448	1475
233	449	1472
234	451	1469
235	453	1467
236	454	1464
237	456	1462
238	458	1459
239	460	1457
240	461	1454
241	463	1451
242	464	1447
243	466	1444
244	467	1441
245	469	1438
246	472	1440
247	473	1435
248	474	1431
249	476	1428
250	477	1424
251	478	1420
252	479	1417
253	481	1412
254	482	1408
255	483	1405
256	485	1402
257	486	1398
258	488	1396
259	489	1393
260	491	1390
261	492	1388
262	494	1386
263	497	1385
264	498	1383
265	500	1379
266	501	1376
267	502	1373
268	504	1370
269	505	1366
270	507	1364
271	508	1361
272	510	1358
273	512	1357
274	513	1354
275	515	1351
276	517	1349
277	518	1347
278	520	1345
279	521	1342
280	523	1340
281	525	1338
282	527	1337
283	529	1334
284	530	1331
285	533	1330
286	534	1328
287	536	1326
288	537	1323
289	539	1320
290	541	1319
291	543	1317
292	545	1316
293	547	1314
294	548	1311
295	550	1308
296	551	1305
297	553	1303
298	554	1300
299	556	1299
300	558	1297
301	560	1295
302	561	1292
303	563	1290
304	564	1287
305	566	1284
306	568	1283
307	570	1281
308	571	1277
309	573	1275
310	574	1273
311	576	1271
312	578	1268
313	579	1266
314	581	1264
315	583	1262
316	585	1260
317	586	1257
318	587	1255
319	589	1252
320	591	1250
321	592	1247
322	593	1243
323	595	1242
324	596	1239
325	598	1238
326	600	1236
327	602	1233
328	604	1232
329	605	1229
330	607	1227
331	609	1225
332	610	1223
333	612	1220
334	613	1218
335	615	1216
336	617	1214
337	618	1211
338	620	1210
339	622	1207
340	623	1205
341	625	1203
342	626	1200
343	628	1198
344	629	1195
345	631	1193
346	633	1192
347	635	1190
348	636	1187
349	638	1185
350	640	1183
351	641	1181
352	643	1179
353	645	1177
354	646	1174
355	648	1172
356	649	1170
357	651	1168
358	653	1167
359	655	1164
360	656	1161
361	657	1159
362	659	1156
363	661	1155
364	662	1152
365	664	1150
366	666	1148
367	667	1145
368	668	1143
369	670	1141
370	672	1139
371	673	1137
372	675	1135
373	677	1133
374	679	1131
375	680	1129
376	682	1127
377	683	1125
378	685	1122
379	686	1120
380	688	1118
381	690	1116
382	691	1114
383	693	1112
384	694	1110
385	696	1107
386	697	1105
387	699	1104
388	701	1102
389	703	1099
390	704	1098
391	706	1096
392	710	1096
393	711	1094
394	713	1093
395	715	1091
396	717	1089
397	718	1086
398	719	1083
399	721	1082
400	723	1080
401	725	1079
402	727	1077
403	728	1074
404	730	1072
405	731	1070
406	733	1068
407	734	1066
408	736	1064
409	738	1062
410	740	1060
411	741	1058
412	743	1056
413	744	1053
414	745	1051
415	747	1049
416	749	1047
417	750	1045
418	752	1042
419	753	1040
420	755	1038
421	756	1036
422	758	1034
423	760	1032
424	761	1030
425	763	1028
426	764	1026
427	766	1024
428	768	1022
429	770	1020
430	771	1018
431	773	1016
432	775	1014
433	776	1012
434	778	1011
435	779	1008
436	781	1007
437	783	1004
438	784	1002
439	786	1001
440	788	999
441	790	997
442	792	996
443	793	994
444	795	992
445	796	989
446	798	988
447	800	986
448	802	984
449	804	983
450	806	981
451	807	979
452	809	977
453	811	975
454	813	973
455	814	972
456	816	970
457	818	968
458	820	966
459	821	964
460	823	962
461	825	960
462	826	958
463	828	956
464	829	954
465	831	953
466	832	950
467	834	948
468	835	945
469	836	943
470	837	940
471	838	938
472	840	935
473	841	933
474	842	931
475	843	928
476	844	926
477	846	923
478	847	921
479	848	919
480	850	917
481	851	915
482	853	913
483	854	911
484	856	909
485	857	907
486	859	905
487	861	903
488	863	901
489	864	899
490	866	898
491	868	896
492	869	894
493	871	892
494	872	890
495	874	888
496	876	886
497	877	885
498	879	883
499	881	881
500	883	879
501	884	877
502	886	876
503	888	874
504	890	872
505	892	871
506	893	869
507	895	867
508	897	865
509	898	863
510	900	861
511	902	859
512	903	857
513	904	855
514	906	854
515	908	852
516	910	850
517	912	849
518	913	847
519	915	844
520	916	842
521	918	840
522	919	839
523	921	837
524	924	836
525	925	834
526	927	832
527	928	830
528	930	828
529	932	826
530	933	824
531	934	822
532	936	820
533	938	818
534	939	816
535	941	814
536	943	813
537	945	811
538	946	809
539	948	807
540	949	805
541	951	804
542	953	802
543	954	800
544	956	798
545	957	796
546	959	794
547	961	792
548	962	791
549	964	788
550	965	786
551	966	784
552	968	782
553	970	781
554	972	779
555	973	777
556	975	776
557	977	774
558	979	772
559	980	770
560	982	768
561	984	767
562	986	765
563	987	763
564	990	762
565	991	760
566	993	758
567	995	756
568	996	754
569	998	753
570	1000	751
571	1001	749
572	1004	748
573	1006	746
574	1007	744
575	1009	742
576	1010	740
577	1012	739
578	1013	737
579	1015	735
580	1017	733
581	1018	731
582	1020	729
583	1022	728
584	1023	726
585	1026	724
586	1027	722
587	1028	720
588	1030	719
589	1032	717
590	1033	715
591	1035	713
592	1036	711
593	1038	709
594	1039	707
595	1041	705
596	1043	704
597	1044	702
598	1045	700
599	1047	698
600	1049	696
601	1051	695
602	1053	693
603	1055	691
604	1057	690
605	1058	688
606	1060	686
607	1061	684
608	1063	682
609	1064	680
610	1066	679
611	1068	677
612	1069	675
613	1071	673
614	1073	671
615	1075	670
616	1077	668
617	1078	666
618	1080	665
619	1081	663
620	1083	661
621	1084	659
622	1086	657
623	1087	655
624	1089	653
625	1090	651
626	1091	649
627	1093	647
628	1095	646
629	1097	644
630	1098	642
631	1100	640
632	1101	638
633	1103	637
634	1105	635
635	1106	633
636	1108	631
637	1110	629
638	1111	628
639	1114	626
640	1115	624
641	1117	623
642	1118	621
643	1120	619
644	1122	617
645	1124	615
646	1125	614
647	1127	612
648	1128	610
649	1130	608
650	1132	607
651	1134	605
652	1136	603
653	1138	602
654	1140	600
655	1141	598
656	1143	596
657	1145	595
658	1146	593
659	1148	591
660	1150	590
661	1152	588
662	1154	586
663	1155	584
664	1157	583
665	1159	581
666	1161	579
667	1163	578
668	1165	576
669	1167	574
670	1168	573
671	1170	571
672	1172	569
673	1174	567
674	1176	566
675	1177	564
676	1179	562
677	1181	560
678	1183	559
679	1185	557
680	1187	556
681	1189	554
682	1191	552
683	1193	551
684	1195	549
685	1196	547
686	1199	546
687	1201	544
688	1202	542
689	1203	540
690	1205	538
691	1206	537
692	1208	535
693	1209	533
694	1210	531
695	1212	529
696	1213	527
697	1215	525
698	1217	524
699	1218	522
700	1220	520
701	1222	519
702	1224	517
703	1226	515
704	1227	513
705	1229	512
706	1231	510
707	1233	508
708	1235	506
709	1236	505
710	1238	503
711	1240	501
712	1242	499
713	1244	498
714	1246	496
715	1248	495
716	1249	493
717	1251	491
718	1252	489
719	1254	487
720	1255	486
721	1257	484
722	1259	482
723	1261	480
724	1262	478
725	1264	477
726	1266	475
727	1268	473
728	1269	472
729	1271	470
730	1273	468
731	1274	466
732	1276	464
733	1278	463
734	1279	461
735	1281	459
736	1282	457
737	1284	455
738	1285	454
739	1287	452
740	1289	450
741	1291	448
742	1293	447
743	1294	445
744	1296	443
745	1298	441
746	1300	440
747	1301	438
748	1303	436
749	1305	435
750	1306	433
751	1308	431
752	1310	429
753	1311	428
754	1313	426
755	1315	424
756	1316	422
757	1318	420
758	1320	419
759	1321	417
760	1322	415
761	1324	413
762	1331	413
763	1332	411
764	1333	409
765	1335	408
766	1337	406
767	1339	404
768	1341	403
769	1343	401
770	1344	399
771	1346	397
772	1348	395
773	1349	394
774	1351	392
775	1353	390
776	1355	389
777	1357	387
778	1359	385
779	1361	384
780	1363	382
781	1365	380
782	1367	378
783	1368	377
784	1370	375
785	1372	373
786	1374	371
787	1376	370
788	1378	368
789	1379	366
790	1380	364
791	1382	363
792	1384	361
793	1385	359
794	1387	357
795	1389	356
796	1390	354
797	1392	352
798	1394	350
799	1396	349
800	1398	347
801	1399	345
802	1401	343
803	1403	342
804	1404	340
805	1406	338
806	1408	336
807	1409	334
808	1411	333
809	1412	331
810	1414	329
811	1416	327
812	1417	326
813	1419	324
814	1420	322
815	1422	320
816	1424	319
817	1432	318
818	1434	316
819	1435	315
820	1437	313
821	1438	311
822	1440	309
823	1441	307
824	1443	306
825	1444	304
826	1446	302
827	1448	300
828	1449	299
829	1451	297
830	1453	295
831	1454	293
832	1456	292
833	1458	290
834	1460	288
835	1461	286
836	1463	285
837	1465	283
838	1466	281
839	1468	279
840	1469	277
841	1471	276
842	1472	274
843	1475	272
844	1476	270
845	1478	269
846	1479	267
847	1481	265
848	1482	263
849	1484	261
850	1485	260
851	1487	258
852	1489	256
853	1491	254
854	1493	253
855	1495	251
856	1497	249
857	1501	248
858	1503	246
859	1505	245
860	1508	243
861	1510	241
862	1513	240
863	1515	238
864	1516	236
865	1518	234
866	1520	233
867	1522	231
868	1524	229
869	1525	227
870	1527	226
871	1528	224
872	1530	222
873	1533	221
874	1536	219
875	1537	217
876	1539	215
877	1540	214
878	1542	212
879	1543	210
880	1545	208
881	1548	207
882	1551	205
883	1552	203
884	1554	201
885	1555	200
886	1557	198
887	1558	196
888	1560	194
889	1562	193
890	1563	191
891	1564	189
892	1566	187
893	1568	185
894	1569	184
895	1571	182
896	1573	180
897	1575	178
898	1576	177
899	1578	175
900	1580	173
901	1582	171
902	1584	170
903	1585	168
904	1587	166
905	1589	164
906	1590	163
907	1592	161
908	1593	159
909	1595	157
910	1597	156
911	1599	154
912	1601	152
913	1602	150
914	1604	149
915	1606	147
916	1608	145
917	1609	143
918	1611	142
919	1613	140
920	1615	138
921	1617	136
922	1618	135
923	1619	133
924	1621	131
925	1623	129
926	1624	127
927	1626	126
928	1628	124
929	1629	122
930	1631	120
931	1633	119
932	1635	117
933	1637	115
934	1638	113
935	1640	112
936	1641	110
937	1644	108
938	1645	106
939	1647	105
940	1648	103
941	1650	101
942	1652	99
943	1654	98
944	1655	96
945	1656	94
946	1658	92
947	1659	91
948	1661	89
949	1667	87
950	1668	85
951	1670	84
952	1671	82
953	1673	80
954	1674	78
955	1676	77
956	1677	75
957	1679	73
958	1681	71
959	1682	70
960	1684	68
961	1686	66
962	1687	64
963	1689	63
964	1691	61
965	1692	59
966	1694	57
967	1696	56
968	1698	54
969	1699	52
970	1701	50
971	1703	49
972	1704	47
973	1706	45
974	1708	43
975	1709	42
976	1711	40
977	1712	38
978	1714	36
979	1716	35
980	1718	33
981	1720	31
982	1722	29
983	1723	28
984	1725	26
985	1726	24
986	1728	22
987	1730	21
988	1732	19
989	1734	17
990	1736	15
991	1738	14
992	1740	12
993	1741	10
994	1743	8
995	1745	7
996	1746	5
997	1748	3
998	1749	1
999	1751	0
