iter	Logloss
0	0.6473516765
1	0.6000008131
2	0.5561607285
3	0.5175287443
4	0.4840766567
5	0.4504772509
6	0.4220993705
7	0.394239156
8	0.3707770021
9	0.354640786
10	0.3361281513
11	0.3163614796
12	0.2991785385
13	0.2830704281
14	0.2670249545
15	0.2539894441
16	0.2408893439
17	0.2291700231
18	0.2195555911
19	0.2106010884
20	0.2017370767
21	0.1936737099
22	0.1863069011
23	0.1796884327
24	0.1735502017
25	0.1673071063
26	0.1615638638
27	0.156292943
28	0.1516298698
29	0.1473681146
30	0.1433737217
31	0.1401609479
32	0.1367535207
33	0.133681532
34	0.1307237355
35	0.1277953831
36	0.1252840037
37	0.1226111771
38	0.1204575294
39	0.1184359382
40	0.1164023261
41	0.1145162318
42	0.1131168246
43	0.1113415965
44	0.110023559
45	0.1085123286
46	0.1070618702
47	0.1058255563
48	0.1049973171
49	0.1038801371
50	0.1027998976
51	0.1016944619
52	0.1007157737
53	0.09970878201
54	0.09884490998
55	0.09805727374
56	0.09723834074
57	0.09651413211
58	0.09585696046
59	0.09514002506
60	0.09430699476
61	0.09361500058
62	0.09306708205
63	0.09237317188
64	0.09170843209
65	0.09115408844
66	0.09072630094
67	0.09027434362
68	0.08985064387
69	0.08939446631
70	0.08897697825
71	0.08856155525
72	0.08820554903
73	0.0877633734
74	0.08745494431
75	0.08706426016
76	0.08679503475
77	0.08646815794
78	0.08614004171
79	0.08580157641
80	0.0854219655
81	0.08526489235
82	0.08499646848
83	0.08459855627
84	0.08428271947
85	0.08408461347
86	0.08384142513
87	0.08350414441
88	0.08329134805
89	0.08310842973
90	0.08289366798
91	0.08267347028
92	0.08246835943
93	0.08218223656
94	0.08199122114
95	0.08172452208
96	0.08155639107
97	0.08135675849
98	0.08115389103
99	0.08097400895
100	0.08076821762
101	0.08052883411
102	0.08030357705
103	0.08015052566
104	0.07990851588
105	0.07973958491
106	0.07959887818
107	0.07943059493
108	0.07926001435
109	0.07910277809
110	0.07894360507
111	0.07869151212
112	0.0785051684
113	0.07827920441
114	0.0781214056
115	0.07794514272
116	0.07780475402
117	0.07764807387
118	0.07754941006
119	0.07741600053
120	0.07726360957
121	0.07708405452
122	0.07694561176
123	0.07673390762
124	0.07663102548
125	0.07654310623
126	0.07639425693
127	0.07629701291
128	0.07616574797
129	0.07597092542
130	0.07580274647
131	0.07566472947
132	0.0755194261
133	0.07540697897
134	0.07529188086
135	0.07520343482
136	0.07509933745
137	0.075004736
138	0.07488201535
139	0.07471278401
140	0.07455683424
141	0.07444295576
142	0.07430942434
143	0.0742011544
144	0.07410711319
145	0.07395380229
146	0.07384149433
147	0.07368826515
148	0.07356079258
149	0.07348136593
150	0.07335548918
151	0.07323082818
152	0.07313539473
153	0.07300706603
154	0.07292362359
155	0.07283882459
156	0.07267474072
157	0.07252549186
158	0.07241998302
159	0.07231365964
160	0.07219942259
161	0.07209348895
162	0.07200985414
163	0.07185877993
164	0.07178223014
165	0.07170600533
166	0.07159801301
167	0.07151915541
168	0.0714461319
169	0.07132452045
170	0.07121163379
171	0.07112285365
172	0.07101008159
173	0.07089837293
174	0.07077144406
175	0.07065494802
176	0.07053552064
177	0.07042039794
178	0.07030611888
179	0.07021918663
180	0.07008289266
181	0.06997412321
182	0.06992321686
183	0.06986137625
184	0.06977035309
185	0.06967379121
186	0.06958619523
187	0.06955533701
188	0.06949080753
189	0.06941396355
190	0.06933854469
191	0.06923950009
192	0.0691812676
193	0.06908617351
194	0.06899824994
195	0.06893107482
196	0.06885543151
197	0.06881360894
198	0.06872720895
199	0.06861294376
200	0.06853735439
201	0.06848693538
202	0.06844599998
203	0.06835316367
204	0.06829190236
205	0.06821039429
206	0.06809497007
207	0.06800800103
208	0.0679709423
209	0.06787064801
210	0.06780215269
211	0.06772609838
212	0.06762168627
213	0.06756807937
214	0.06748565527
215	0.06731411987
216	0.06721433451
217	0.06714746558
218	0.06709644757
219	0.0670043865
220	0.06690099542
221	0.06681678815
222	0.06676486016
223	0.06671469858
224	0.06659988206
225	0.06652059655
226	0.06643743672
227	0.06637529085
228	0.06630083331
229	0.06623026894
230	0.06612256622
231	0.06606415221
232	0.06596630372
233	0.06590486891
234	0.06584139058
235	0.06578866251
236	0.06572170542
237	0.06564397463
238	0.06555270637
